movie_id,closest_movie_ids,similarity_scores
19995,"[286217, 8870, 2067, 10016, 11260, 16911, 11692, 11954, 50357, 9693]","[0.4505615830421448, 0.4379252791404724, 0.4367588460445404, 0.435363233089447, 0.4341222643852234, 0.4193066954612732, 0.4167035222053528, 0.4157949984073639, 0.4144035577774048, 0.41361433267593384]"
285,"[286217, 810, 49529, 9804, 8078, 1979, 5689, 15208, 5966, 679]","[0.4580326974391937, 0.44036027789115906, 0.4248442053794861, 0.41218599677085876, 0.4096538722515106, 0.40587013959884644, 0.40526264905929565, 0.40276283025741577, 0.40265756845474243, 0.40054404735565186]"
206647,"[10764, 36670, 37724, 708, 657, 700, 324668, 260346, 297596, 682]","[0.5977649688720703, 0.5940604209899902, 0.5737969875335693, 0.5292389988899231, 0.505883514881134, 0.4990576207637787, 0.4864206314086914, 0.4729918837547302, 0.4682292342185974, 0.4666890501976013]"
49026,"[414, 155, 268, 364, 272, 142061, 209112, 34769, 98357, 479]","[0.741918683052063, 0.7273128032684326, 0.6164615154266357, 0.6060484647750854, 0.5925196409225464, 0.5558509826660156, 0.5375997424125671, 0.4960378110408783, 0.4731658697128296, 0.46919846534729004]"
49529,"[10461, 12142, 5175, 13937, 329540, 7350, 44833, 110683, 13475, 75612]","[0.5391374826431274, 0.4945083558559418, 0.47897911071777344, 0.47867441177368164, 0.471612811088562, 0.46876922249794006, 0.46434396505355835, 0.4532073140144348, 0.45158854126930237, 0.4450610280036926]"
559,"[558, 557, 102382, 1979, 1930, 9531, 308531, 8536, 6488, 11411]","[0.6090538501739502, 0.5984529256820679, 0.5907689332962036, 0.5565249919891357, 0.5372328758239746, 0.5212991237640381, 0.5108548402786255, 0.5027570724487305, 0.5007679462432861, 0.477960467338562]"
38757,"[8676, 810, 7220, 20526, 17578, 60400, 809, 10192, 10764, 131634]","[0.5654075145721436, 0.4716194272041321, 0.4692627489566803, 0.4672069847583771, 0.45882636308670044, 0.45650389790534973, 0.45141085982322693, 0.44986575841903687, 0.4493436813354492, 0.4478958249092102]"
99861,"[10195, 271110, 8536, 76338, 11411, 100402, 1724, 2789, 11253, 10138]","[0.5891299247741699, 0.5829423666000366, 0.5794644355773926, 0.5602080821990967, 0.5580919981002808, 0.5407149195671082, 0.5095884799957275, 0.5005537271499634, 0.4995908737182617, 0.49851521849632263]"
767,"[671, 675, 673, 674, 672, 122, 20981, 10577, 56715, 60304]","[0.5789048671722412, 0.47207340598106384, 0.47050511837005615, 0.4626063108444214, 0.425264835357666, 0.4173915386199951, 0.39895737171173096, 0.3917754888534546, 0.3778381645679474, 0.36257240176200867]"
209112,"[272, 142061, 155, 11411, 268, 414, 8536, 364, 1979, 49026]","[0.6139726638793945, 0.6118895411491394, 0.6093262434005737, 0.5943925380706787, 0.5870019197463989, 0.5714263319969177, 0.5675842761993408, 0.5624393224716187, 0.5399991273880005, 0.5375997424125671]"
1452,"[8536, 11411, 1924, 76338, 87421, 142061, 38055, 209112, 272, 9531]","[0.6984628438949585, 0.6843210458755493, 0.56587153673172, 0.559583842754364, 0.5458985567092896, 0.5339325666427612, 0.5303374528884888, 0.5291541814804077, 0.5270338654518127, 0.5252556800842285]"
10764,"[36670, 646, 682, 206647, 37724, 657, 708, 253, 36557, 700]","[0.6937422752380371, 0.6076158285140991, 0.6048201322555542, 0.5977649688720703, 0.591580867767334, 0.5780287981033325, 0.5337910652160645, 0.5319910645484924, 0.5290254354476929, 0.5279914140701294]"
